00Z 20 Sep 2017, 147.92 17.61
12Z 20 Sep 2017, 1168.95 31.85
00Z 21 Sep 2017, 0.00 12.05
12Z 21 Sep 2017, 0.00 10.40
00Z 22 Sep 2017, 0.00 11.05
12Z 22 Sep 2017, 59.64 10.72
00Z 23 Sep 2017, 0.00 7.92
12Z 23 Sep 2017, 0.00 9.27
00Z 24 Sep 2017, 0.00 1.27
12Z 24 Sep 2017, 0.00 9.09
12Z 28 Sep 2017, 0.00 8.46
00Z 29 Sep 2017, 0.00 5.49
12Z 29 Sep 2017, 0.00 5.89
00Z 30 Sep 2017, 0.00 6.59
12Z 30 Sep 2017, 0.00 6.65
00Z 01 Oct 2017, 0.00 8.27
12Z 01 Oct 2017, 0.00 7.98
00Z 02 Oct 2017, 0.00 6.56
12Z 02 Oct 2017, 0.00 6.81
00Z 04 Oct 2017, 0.00 5.77
12Z 04 Oct 2017, 0.00 6.72
00Z 05 Oct 2017, 73.25 12.22
12Z 05 Oct 2017, 0.00 7.19
00Z 06 Oct 2017, 0.16 14.54
12Z 06 Oct 2017, 84.77 12.51
00Z 07 Oct 2017, 0.00 8.89
12Z 07 Oct 2017, 0.00 6.96
00Z 08 Oct 2017, 0.00 7.04
00Z 09 Oct 2017, 0.00 6.63
12Z 09 Oct 2017, 0.00 11.79
00Z 10 Oct 2017, 0.00 7.52
12Z 10 Oct 2017, 0.00 9.79
00Z 11 Oct 2017, 0.00 6.42
12Z 11 Oct 2017, 0.00 8.57
00Z 12 Oct 2017, 0.00 5.57
12Z 12 Oct 2017, 0.00 7.66
00Z 13 Oct 2017, 0.00 6.51
12Z 13 Oct 2017, 0.00 8.51
00Z 14 Oct 2017, 0.00 8.10
12Z 14 Oct 2017, 0.00 7.57
12Z 15 Oct 2017, 0.00 5.41
00Z 16 Oct 2017, 0.00 4.56
12Z 16 Oct 2017, 0.00 7.35
00Z 17 Oct 2017, 0.00 7.07
12Z 17 Oct 2017, 0.00 6.03
00Z 18 Oct 2017, 0.00 10.34
12Z 18 Oct 2017, 0.00 6.78
00Z 19 Oct 2017, 0.00 7.40
12Z 19 Oct 2017, 0.00 9.49
00Z 20 Oct 2017, 0.00 9.52
12Z 22 Oct 2017, 140.97 17.89
00Z 23 Oct 2017, 73.51 16.32
12Z 23 Oct 2017, 36.22 15.73
00Z 24 Oct 2017, 129.37 18.92
12Z 24 Oct 2017, 33.13 13.81
03Z 25 Oct 2017, 0.00 8.51
12Z 25 Oct 2017, 0.00 6.81
00Z 26 Oct 2017, 0.00 6.07
12Z 26 Oct 2017, 0.00 7.61
00Z 27 Oct 2017, 0.00 5.51
12Z 27 Oct 2017, 0.00 8.77
00Z 28 Oct 2017, 0.00 5.64
00Z 29 Oct 2017, 0.00 6.78
12Z 29 Oct 2017, 1403.40 15.64
00Z 30 Oct 2017, 152.66 10.49
12Z 30 Oct 2017, 0.00 5.60
00Z 31 Oct 2017, 0.00 7.04
12Z 31 Oct 2017, 969.55 17.07
00Z 01 Nov 2017, 0.00 8.66
12Z 01 Nov 2017, 11.02 12.28
00Z 02 Nov 2017, 0.00 11.70
12Z 02 Nov 2017, 378.37 14.49
00Z 03 Nov 2017, 0.00 11.04
00Z 04 Nov 2017, 0.00 12.74
12Z 04 Nov 2017, 1191.67 16.33
00Z 05 Nov 2017, 542.53 18.58
00Z 06 Nov 2017, 0.00 9.51
12Z 06 Nov 2017, 0.00 4.21
00Z 07 Nov 2017, 0.00 6.51
12Z 07 Nov 2017, 0.00 4.88
00Z 08 Nov 2017, 0.00 6.27
12Z 08 Nov 2017, 0.00 9.16
00Z 09 Nov 2017, 0.00 7.17
12Z 09 Nov 2017, 0.00 10.51
00Z 10 Nov 2017, 0.00 10.59
12Z 10 Nov 2017, 0.63 12.18
00Z 11 Nov 2017, 0.00 10.63
12Z 11 Nov 2017, 106.85 14.23
00Z 12 Nov 2017, 0.00 11.95
12Z 12 Nov 2017, 614.60 15.82
00Z 13 Nov 2017, 0.60 15.63
12Z 13 Nov 2017, 0.00 8.68
12Z 14 Nov 2017, 0.00 5.05
00Z 15 Nov 2017, 0.00 7.07
12Z 15 Nov 2017, 0.00 4.30
00Z 16 Nov 2017, 0.00 3.65
12Z 16 Nov 2017, 0.00 4.76
00Z 17 Nov 2017, 0.00 4.89
12Z 17 Nov 2017, 0.00 4.68
00Z 18 Nov 2017, 0.00 3.58
12Z 18 Nov 2017, 0.00 4.51
00Z 19 Nov 2017, 0.00 5.35
12Z 19 Nov 2017, 0.00 4.71
00Z 20 Nov 2017, 0.00 6.66
12Z 20 Nov 2017, 0.00 7.42
00Z 21 Nov 2017, 0.00 7.32
12Z 21 Nov 2017, 0.00 9.86
00Z 22 Nov 2017, 0.00 8.97
12Z 22 Nov 2017, 0.30 16.36
00Z 23 Nov 2017, 0.00 10.37
12Z 23 Nov 2017, 14.82 21.07
00Z 24 Nov 2017, 1.78 17.09
12Z 24 Nov 2017, 159.15 15.39
00Z 25 Nov 2017, 0.00 16.36
12Z 25 Nov 2017, 694.75 19.26
00Z 26 Nov 2017, 43.18 17.21
12Z 26 Nov 2017, 268.92 12.66
00Z 27 Nov 2017, 82.46 14.31
12Z 27 Nov 2017, 185.90 16.08
00Z 28 Nov 2017, 20.31 15.55
12Z 28 Nov 2017, 534.45 16.90
00Z 29 Nov 2017, 0.00 13.78
12Z 29 Nov 2017, 0.00 5.18
00Z 30 Nov 2017, 0.00 14.86
12Z 30 Nov 2017, 22.80 17.29
